country_name,code,cost,gdp,voice,politicalstability,govteffectiveness,regulatory,ruleoflaw,corruption,popn2004,migrants,migprop,flowuscanz,region,restrict,commonwealth,language
Albania,ALB,46.46,2080,0.03,-0.97,-0.36,-0.08,-0.8,-0.72,3187976,467227,0.127825185,5343,Europe,no,no,Other
Angola,AGO,50,1030,-1.02,-0.95,-1.14,-1.4,-1.33,-1.12,14000000,213829,0.01504373,364,Africa,no,no,Other
Antigua and Barbuda,ATG,18.52,10000,0.48,1.3,0.31,0.73,0.91,0.88,80000,32168,0.28678411,429,NoAm,no,yes,English
Argentina,ARG,25.2,3720,0.49,-0.24,-0.33,-0.81,-0.71,-0.44,38200000,543299,0.014023044,6855,SoAm,no,no,Spanish
Armenia,ARM,0,1120,-0.66,-0.51,-0.34,0.05,-0.58,-0.53,3049658,449389,0.128431827,1988,Europe,no,no,Other
Australia,AUS,115.22,26900,1.4,1.03,1.95,1.62,1.82,2.02,20100000,365451,0.017856973,3579,Oceania,no,yes,English
Austria,AUT,83.33,32300,1.25,1.18,1.76,1.41,1.76,2.1,8115000,371646,0.043791858,695,Europe,no,no,Other
Azerbaijan,AZE,23.83,950,-0.97,-1.52,-0.81,-0.57,-0.85,-1.04,8279540,944254,0.10237154,1226,Europe,yes,no,Other
Bahamas,BHS,29.85,14920,1.14,0.94,1.27,0.78,1.28,1.36,320090,34748,0.097926295,617,NoAm,no,yes,English
Bahrain,BHR,31.83,12410,-0.73,0.06,0.76,0.71,0.68,0.76,725385,9767,0.01328569,391,Asia,no,no,Arabic
Bangladesh,BGD,22.83,440,-0.69,-1.24,-0.72,-1.15,-0.86,-1.09,140000000,4358673,0.030193357,11064,Asia,no,yes,Other
Barbados,BRB,62.66,9270,1.17,1.52,1.18,0.91,1.21,0.81,271789,95168,0.259343526,722,NoAm,no,yes,English
Belgium,BEL,95.41,31030,1.35,0.94,1.71,1.25,1.47,1.53,10400000,363161,0.03374111,1330,Africa,no,no,French
Belize,BLZ,15.27,3940,0.91,0.65,0.16,0.32,0.25,-0.07,282600,48794,0.147238634,892,NoAm,no,yes,English
Benin,BEN,45.55,530,0.3,-0.37,-0.39,-0.49,-0.47,-0.34,6890214,14909,0.002159122,267,Africa,no,no,French
Bhutan,BTN,17.77,760,-1.18,0.84,-0.14,0,0.27,0.69,896011,11238,0.012386903,18,Asia,no,no,Other
